Lookup,Player,Sorting,On Teams,HP url,QM MMR,SL MMR,QM Games,SL Games,MMR,Untracked,Role,Tag,is_primary,Adjustment,Win %,Games,Takedowns,Kills,Assists,Deaths,Kill Participation,KDA,Highest Kill Streak,Vengeances,Time Dead,Time Dead %,Deaths While Outnumbered,Escapes,Team Fight Escapes,Hero Damage,DPM,Physical Damage,Ability Damage,Damage per Death,Team Fight Hero Damage,Siege Damage,Structure Damage,Minion Damage,Summon Damage,Creep Damage,Healing,HPM,Healing per Death,Team Fight Healing,Self Healing,Allied Shields,Clutch Heals,Damage Taken,Damage Soaked,Damage Taken per Death,Team Fight Damage Taken,CC Time,Root Time,Silence Time,Stun Time,Time on Fire,XP Contribution,XPM,Merc Camp Captures,Watch Tower Captures,Aces,Wipes,% of Game with Level Adv.,% of Game with Hero Adv.,Passive XP/Second,Passive XP Gained,Altar Damage Done,Damage to Immortal,Dragon Knights Captured,Shrines Captured,Dubloons Held At End,Dubloons Turned In,Skulls Collected,Shrine Minion Damage,Plant Damage,Seeds Collected,Garden Seeds Collected,Gems Turned In,Nuke Damage,Curse Damage,Time On Temple,Damage Done to Zerg,Cage Unlocks Interrupted,Hero Pool,Damage Ratio,% of Team Damage,% of Team Damage Taken,% of Team Damage Healed,% of Time Slow CC,% of Time Non-Slow CC,Votes,Awards,Award %,MVP,MVP %,Bsteps,Bstep TD,Bstep Deaths,Taunts,Taunt TD,Taunt Deaths,Sprays,Spray TD,Spray Deaths,Dances,Dance TD,Dance Deaths
EileenUlick#11811,EileenUlick,Gremlin_alt,TRUE,https://www.heroesprofile.com/Player/EileenUlick/11053110/1,2248,2475,18,141,2475,FALSE,,11811,FALSE,,50%,2,13.50,2.50,11.00,2.00,76%,12.17,9.00,0.00,1:25,8%,1.00,0.50,0.50,29360.00,1680.06,12668.00,59959.00,20647.67,15288.00,38020.50,2473.50,25674.50,3951.50,4514.00,0.00,1145.84,13941.17,0.00,20036.50,0.00,0.00,78209.00,67211.00,49450.33,55162.00,3:43,00:00,00:00,00:52,00:00,7047.50,405.47,2.50,0.00,0.00,0.50,34%,27%,25.90,6105.81,0,0,0.00,2.50,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,1,0.38,16%,33%,0%,21%,5%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
GreyColor#1257,GreyColor,GreyColor,TRUE,https://www.heroesprofile.com/Player/GreyColor/9195733/1,3006,3171,5418,1307,3171,FALSE,A,1257,TRUE,-100,50%,2,12.50,6.50,6.00,1.00,92%,8.50,11.00,0.50,00:43,3%,0.00,2.00,0.50,71256.50,3713.68,72062.50,151413.00,44488.50,28663.50,129244.00,47512.50,77094.50,1269.00,26403.00,0.00,40.14,491.50,387.00,491.50,0.00,0.00,30733.50,28029.00,20905.25,16061.00,00:48,00:00,00:00,00:15,00:00,13440.00,721.88,4.00,0.00,0.00,0.00,38%,20%,25.41,6475.23,0,0,1.00,0.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,2,2.16,29%,12%,0%,6%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
Haksho#1307,Haksho,Haksho,TRUE,https://www.heroesprofile.com/Player/Haksho/5089567/1,2679,2419,4941,24,2679,FALSE,,1307,TRUE,,33.3%,3,10.00,1.00,9.00,2.00,92%,8.89,9.67,0.00,1:10,8%,0.67,0.00,0.00,18769.00,1141.56,33052.00,27869.00,10018.56,9374.67,38148.67,3215.67,25851.67,5022.67,4215.67,46515.00,3169.31,37421.33,4974.33,0.00,899.67,0.33,23724.67,19503.00,11450.89,14094.00,3:23,00:00,00:14,00:01,00:00,5759.67,357.89,2.00,0.00,0.00,0.00,29%,20%,24.25,4038.61,1.33,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,3,0.78,11%,14%,27%,23%,2%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
HexicStars#1481,HexicStars,HexicStars,TRUE,https://www.heroesprofile.com/battletag/searched/HexicStars%231481/alt,2585,2624,646,1904,2624,FALSE,HA,1481,TRUE,,50%,2,6.50,0.50,6.00,1.00,79%,6.50,8.50,0.00,00:53,6%,0.50,1.00,0.00,10340.00,691.30,23104.50,16683.50,10340.00,6660.00,21068.50,4955.00,13045.00,1582.50,6904.50,59538.00,3986.58,59538.00,10829.50,0.00,0.00,0.00,22686.00,19348.50,22686.00,15901.00,31:34,00:00,00:17,00:00,00:00,5019.00,336.75,3.00,1.00,0.00,0.00,35%,14%,26.04,5361.00,0,0,0,0,0,0,0,0,0,0,0,12.00,0,1261.50,00:00,0,0,2,0.46,7%,14%,35%,213%,2%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,36,0,0
HippoXXX#1609,HippoXXX,HippoXXX,TRUE,https://www.heroesprofile.com/Player/HippoXXX/1732982/1,3121,3055,2661,106,3121,FALSE,,1609,TRUE,,33.3%,3,5.67,2.00,3.67,4.00,79%,2.25,4.67,0.67,2:11,13%,2.67,1.00,0.33,44932.33,2624.55,52472.33,65374.67,14668.04,28938.67,66565.67,5126.00,44946.33,7156.33,5651.00,1522.67,1220.13,6740.24,0.00,19192.67,0.00,0.00,84194.00,67085.67,27126.52,63582.00,1:59,00:00,00:00,00:19,00:00,8841.33,513.91,1.00,0.00,0.00,0.00,8%,14%,23.52,3616.47,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,301.00,0.00,3,0.74,28%,30%,0%,12%,2%,0,0,0%,0,0%,4,0,0,0,0,0,6,0,0,44,0,0
Hoku#1399,Hoku,Hoku,TRUE,https://www.heroesprofile.com/Player/Hoku/7985379/1,2571,2616,3630,1846,2616,FALSE,,1399,TRUE,,20%,5,10.80,2.20,8.60,3.00,66%,4.52,7.60,0.60,2:27,13%,2.20,0.40,0.00,22638.20,1188.04,46144.60,77673.00,8145.52,13510.40,77513.80,7938.80,60455.40,2154.20,21371.40,12586.20,1577.77,10651.90,1633.80,17227.60,0.00,0.00,62274.40,48318.00,22848.18,35067.40,00:53,00:00,00:07,00:08,00:00,13261.40,689.02,2.80,0.00,0.00,0.40,24%,19%,26.00,6721.19,0,1823.00,0.00,1.60,0,0,0,5517.60,0,0,0,0,0,0,00:00,0,0.00,5,0.37,12%,26%,6%,5%,1%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Hsjohn#1634,Hsjohn,Hsjohn,TRUE,https://www.heroesprofile.com/Player/Hsjohn/4231499/1,2711,2836,805,118,2836,FALSE,THA,1634,TRUE,,44.4%,9,12.78,3.67,9.11,2.00,81%,9.56,8.11,0.56,1:21,7%,0.44,0.78,0.00,53648.89,2841.78,36934.00,103265.89,39725.62,25190.33,64293.11,10558.00,44111.89,2129.67,23172.89,0.00,449.44,6952.24,0.00,9344.78,0.00,0.00,43052.56,36882.78,28100.11,24951.56,1:47,00:05,00:00,00:10,00:00,9884.78,518.94,3.33,0.00,0.22,0.11,38%,21%,25.82,6984.47,0.00,6953.56,0,0,0,0,0,373.44,0.00,0.00,0.00,0,0,0,00:00,0,0.00,7,1.50,27%,18%,0%,10%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
hunterlust#1625,hunterlust,hunterlust,TRUE,https://www.heroesprofile.com/Player/hunterlust/5761589/1,2681,2843,933,4150,2843,TRUE,,1625,TRUE,-10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceQueen#12634,IceQueen,IceQueen,TRUE,https://www.heroesprofile.com/Player/IceQueen/10413783/1,2673,2676,4616,1485,2676,FALSE,,12634,TRUE,,45.8%,24,10.96,2.88,8.08,2.42,75%,7.32,7.92,0.46,1:28,8%,0.75,0.29,0.00,40712.46,2152.39,28911.04,127910.88,24911.02,14562.79,91728.83,17530.50,60261.92,4787.38,21946.04,17890.96,1081.53,12998.95,3142.96,760.54,487.83,0.46,26580.54,20658.54,15342.18,13053.92,00:45,00:02,00:05,00:04,00:00,10603.46,549.67,3.67,0.42,0.17,0.29,27%,20%,25.43,6087.66,0.67,202.04,0.00,0.08,0,0,0,1761.75,0.00,0.00,0.00,0.83,0,654.38,00:00,0,0.21,6,1.60,21%,12%,9%,4%,1%,0,0,0%,0,0%,15,0,0,0,0,0,8,0,1,0,0,0
Icon#11669,Icon,Icon,TRUE,https://www.heroesprofile.com/battletag/searched/Icon%2311669/alt,2547,2632,2092,1874,2632,FALSE,H,11669,TRUE,,53.3%,15,11.13,1.20,9.93,2.13,84%,6.34,8.47,0.13,1:29,7%,1.20,0.47,0.07,19184.80,1021.00,28646.93,48455.07,11844.86,11081.07,49436.53,4363.40,36580.80,2109.27,8365.13,40209.67,2661.99,27689.70,5420.60,9939.60,1267.53,0.67,43919.33,37282.00,26596.33,25915.27,4:16,00:00,00:09,00:08,00:00,10151.40,554.26,2.73,0.00,0.13,0.13,31%,22%,25.94,7399.02,1.47,979.67,0.00,0.13,0,0,0,0.00,0.00,0.00,0.00,2.00,0,0,00:00,0,0.27,7,0.46,9%,19%,17%,27%,2%,0,0,0%,0,0%,0,0,0,0,0,0,5,0,0,5,0,0
